"SiteName","Locator","Latitude","Longitude","Site Type","Area","New Georeferenced Column"
"Quartermaster Harbor Yacht Club","MSWH01","47.3939444","-122.4635","Marine Offshore","Central Puget Sound","POINT (-122.4635 47.3939444)"
"East Green Lake Swim Beach","A734SB","47.68039","-122.32955","Swimming Beaches","Green Lake","POINT (-122.32955 47.68039)"
"North Creek at 240th St SE","D474","47.77991667","-122.1881389","Streams and Rivers","North","POINT (-122.1881389 47.77991667)"
"Forbes Creek upstream of of trail crossing off NE 106th ST","B456","47.696427","-122.189276","Streams and Rivers","Forbes","POINT (-122.189276 47.696427)"
"Newaukum Creek mouth at 212th Way SE","0322","47.27408333","-122.0561944","Streams and Rivers","Newaukum","POINT (-122.0561944 47.27408333)"
"Lake Washington off Sand Point","0826","47.686752","-122.23533","Large Lakes","Lake Washington","POINT (-122.23533 47.686752)"
"Lake Washington east of Mercer Island","0840","47.53871","-122.20633","Large Lakes","Lake Washington","POINT (-122.20633 47.53871)"
"Lake Washington Juanita Bay","0807","47.698944","-122.218475","Large Lakes","Lake Washington","POINT (-122.218475 47.698944)"
"Vashon Outfall","MSJN02","47.4528999","-122.4329987","Marine Offshore","Central Puget Sound","POINT (-122.4329987 47.4528999)"
"West Point Outfall","KSSK02","47.6605988","-122.4469986","Marine Offshore","Central Puget Sound","POINT (-122.4469986 47.6605988)"
"Port Susan entrance - E Camano Head","PSUSANENT","48.06","-122.33","Marine Offshore","Whidbey","POINT (-122.33 48.06)"
"Lake Washington Wolf Bay","0845","47.663822","-122.25135","Large Lakes","Lake Washington","POINT (-122.25135 47.663822)"
"Seacrest Park","LSGY01","47.5890999","-122.3799973","Marine Intertidal","Central Puget Sound","POINT (-122.3799973 47.5890999)"
"Outer Salmon Bay","KSRU03","47.6679993","-122.4059982","Marine Offshore","Central Puget Sound","POINT (-122.4059982 47.6679993)"
"Lake Washington south end","0829","47.50364","-122.215744","Large Lakes","Lake Washington","POINT (-122.215744 47.50364)"
"Point Williams","LSNT01","47.5332985","-122.4329987","Marine Offshore","Central Puget Sound","POINT (-122.4329987 47.5332985)"
"Swamp Creek mouth at Bothell Way NE","0470","47.75552778","-122.2339444","Streams and Rivers","Swamp","POINT (-122.2339444 47.75552778)"
"Yarrow Creek near 101st Way NE","B499","47.64380833","-122.2056111","Streams and Rivers","Yarrow","POINT (-122.2056111 47.64380833)"
"Forbes Creek mouth near 98th Ave NE","0456A","47.69645","-122.2081194","Streams and Rivers","Forbes","POINT (-122.2081194 47.69645)"
"Vashon Outfall (Previous)","VO50E","47.4532013","-122.439003","Marine Offshore","Central Puget Sound","POINT (-122.439003 47.4532013)"
"Penn Cove - west end","PENNCOVEWEST","48.2249","-122.72","Marine Offshore","Whidbey","POINT (-122.72 48.2249)"
"Little Bear mouth near NE 178th St","0478","47.75658333","-122.1663889","Streams and Rivers","Little Bear","POINT (-122.1663889 47.75658333)"
"Saratoga Passage - SW Camano Head","SARATOGACH","48.044","-122.369","Marine Offshore","Whidbey","POINT (-122.369 48.044)"
"Duwamish River - South Park Bridge","LTUM03","47.5293999","-122.314003","Marine Offshore","Central Puget Sound","POINT (-122.314003 47.5293999)"
"Constellation Park","LSKS01","47.5719986","-122.4140015","Marine Intertidal","Central Puget Sound","POINT (-122.4140015 47.5719986)"
"Sammamish Landing","SAMMLANDINGSB","47.64859","-122.68843","Swimming Beaches","Lake Sammamish","POINT (-122.68843 47.64859)"
"Carkeek Park - Piper's Creek Outflow","KSHZ03","47.71253889","-122.3795778","Marine Intertidal","Central Puget Sound","POINT (-122.3795778 47.71253889)"
"Cedar River mouth","X438","47.49530556","-122.2136944","Streams and Rivers","Cedar","POINT (-122.2136944 47.49530556)"
"Duwamish River at South Park Bridge","0307","47.5294","-122.314","Streams and Rivers","Duwamish","POINT (-122.314 47.5294)"
"Thornton Creek mouth at Sand Point Way NE","0434","47.69630556","-122.2766389","Streams and Rivers","Thornton","POINT (-122.2766389 47.69630556)"
"West Point South Beach","KSSN05","47.6612015","-122.4339981","Marine Intertidal","Central Puget Sound","POINT (-122.4339981 47.6612015)"
"Meydenbauer Bay Park Beach","0834SB","47.610443","-122.20972","Swimming Beaches","Lake Washington","POINT (-122.20972 47.610443)"
"Duwamish Head","DWMHD1","47.60046","-122.39012","Marine Offshore","Central Puget Sound","POINT (-122.39012 47.60046)"
"Mileta Creek at Dockton Rd SW","VA45A","47.38844444","-122.4278694","Streams and Rivers","Mileta","POINT (-122.4278694 47.38844444)"
"Gedney Island to Possession Sound DO Transect Station 2","Poss DO-2","47.9392","-122.3358","Marine Offshore","Whidbey","POINT (-122.3358 47.9392)"
"Kelsey Creek at Kelsey Creek Park","D444","47.60597222","-122.1622222","Streams and Rivers","Mercer Slough","POINT (-122.1622222 47.60597222)"
"Burton Acres Park","MSXK01","47.3900986","-122.4469986","Marine Intertidal","Central Puget Sound","POINT (-122.4469986 47.3900986)"
"Lyon Creek mouth at Bothell Way NE","0430","47.75291944","-122.2777778","Streams and Rivers","Lyon","POINT (-122.2777778 47.75291944)"
"Coal Creek upstream of 119th Ave SE","0442","47.56626","-122.179245","Streams and Rivers","Coal","POINT (-122.179245 47.56626)"
"Taylor Creek at 68th AVE S","A441","47.508614","-122.247976","Streams and Rivers","Taylor","POINT (-122.247976 47.508614)"
"Thornton Creek at Matthews Beach","A434","47.6951","-122.27652","Swimming Beaches","Thornton","POINT (-122.27652 47.6951)"
"Edwards Point","ITEDWARDSPT","47.8036003","-122.3949966","Marine Intertidal","Central Puget Sound","POINT (-122.3949966 47.8036003)"
"Point Roberts Park","MTXA01","47.3869019","-122.375","Marine Intertidal","Central Puget Sound","POINT (-122.375 47.3869019)"
"Lake Washington Madison Park","0852","47.636497","-122.26867","Large Lakes","Lake Washington","POINT (-122.26867 47.636497)"
"Lake Sammamish mid-lake north","0611","47.622776","-122.08083","Large Lakes","Lake Sammamish","POINT (-122.08083 47.622776)"
